Arcimoto,https://www.arcimoto.com/careers/,2,,
CBT Nuggets,https://www.cbtnuggets.com/employment,5,,
City of Eugene,https://www.governmentjobs.com/careers/Eugene,1,Hardly any tech jobs. ,
Feeney Wireless,https://workforcenow.adp.com/jobs/apply/posting.html?client=FWHR#,4,"Includes jobs in other cities, e.g. Baltimore, and non-tech jobs. I just counted tech jobs in Eugene. ",
IDX,http://www.idxbroker.com/careers,2,,
IRIS Educational Media,https://www.irised.com/pages/jobs,1,,
Limelight Department,http://limelightdept.com/careers/,3,Number includes account executive. Should it? ,
Lunar Logic,https://www.lunarlogic.com/careers,1,,
Moonshadow Mobile,http://www.moonshadowmobile.com/company/career-opportunities/,4,,
Palo Alto Software,http://www.paloalto.com/about-us/careers,5,,
Partnered Solutions IT,https://partneredsolutionsit.com/contact/careers/,4,,
Pipeworks,http://pipeworks.com/index.php?/careers/,0,,
SheerID,http://www.sheerid.com/jobs-at-sheerid,4,,
Smarsh,http://jobs.jobvite.com/careers/smarsh/jobs?__jvst=Career%20Site,0,"Includes jobs in other cities, e.g. Baltimore, and non-tech jobs. I just counted tech jobs in Eugene. ",
Symantec,https://symantec.wd1.myworkdayjobs.com/careers,15,"Includes jobs in other cities, e.g. Baltimore, and non-tech jobs. I just counted tech jobs in Eugene. ",
Zynga,https://www.zynga.com/careers/positions/locations/eugene-or-united-states,1,,